Word,C_or_V,Length,Complexity,Backness,Category,Target,Subcategory,Image
rude,C,1_syll,simple,back,consonantal_back,Ru,,rude.jpg
rose,C,1_syll,simple,back,consonantal_back,Ro,,rose.jpg
raw,C,1_syll,simple,back,consonantal_back,Ra,,raw.jpg
rob,C,1_syll,simple,back,consonantal_back,Ra,,rob.jpg
rug,C,1_syll,simple,back,consonantal_back,Ra,,rug.jpg
race,C,1_syll,simple,front,consonantal_front,Re,,race.jpg
raft,C,1_syll,simple,front,consonantal_front,Re,,raft.jpg
reach,C,1_syll,simple,front,consonantal_front,Ri,,reach.jpg
ride,C,1_syll,simple,front,consonantal_front,Ry,,ride.jpg
red,C,1_syll,simple,front,consonantal_front,Re,,red.jpg
turn,V,1_syll,simple,all,schwar,VS,,turn.jpg
worm,V,1_syll,simple,all,schwar,VS,,worm.jpg
hammer,V,2_syll,simple,all,schwar,VU,,hammer.jpg
ladder,V,2_syll,simple,all,schwar,VU,,ladder.jpg
nurse,V,1_syll,simple,all,schwar,VS,,nurse.jpg
scarf,V,1_syll,simple,back,vocalic_back,Dar,,scarf.jpg
sword,V,1_syll,simple,back,vocalic_back,Dor,,sword.jpg
dark,V,1_syll,simple,back,vocalic_back,Dar,,dark.jpg
fork,V,1_syll,simple,back,vocalic_back,Dor,,fork.jpg
farm,V,1_syll,simple,back,vocalic_back,Dar,,farm.jpg
beard,V,1_syll,simple,front,vocalic_front,Dir,,beard.jpg
weird,V,1_syll,simple,front,vocalic_front,Dir,,weird.jpg
chair,V,1_syll,simple,front,vocalic_front,Der,,chair.jpg
clear,V,1_syll,simple,front,vocalic_front,Dir,,clear.jpg
stare,V,1_syll,simple,front,vocalic_front,Der,,stare.jpg
